iteration,id,juris,workflow,status,name,global,entity_types
0,60fac739a50e740950350d82,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]","['Continuance', 'Formation', 'Merge / Amalgamate', 'Change of Address', 'Change of Shared Address', 'Change of Profile Address']",pdf,REG3016_Notice of Address,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
1,60fac745b2cc640957355125,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]","['Change of principals', 'Continuance', 'Formation', 'Organizational', 'Merge / Amalgamate']",pdf,REG3017_Notice of Directors,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
2,60fac75bb2cc64095735514b,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Formation'],pdf,REG3047_Articles of Incorporation,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
3,60fac775a50e740950350dce,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]","['Annual Compliance', 'Registration Compliance']",pdf,REG3062_Annual Return,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
4,60fac77ca50e740950350dd9,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]","['Continuance', 'Registration Compliance', 'Formation']",pdf,REG3018_Declaration of Trade Name,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
5,60fac79bb2cc640957355173,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Dissolve'],pdf,REG3038_Articles of Dissolution,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
6,60fac7a0b2cc640957355175,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Continuance'],pdf,REG3039_Articles of Continuance,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
7,60fac7aca50e740950350df4,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]","['Amendments', 'Change of Company Name']",pdf,REG3054_Articles of Amendment,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
8,60fac7b5a50e740950350df8,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Amendments'],pdf,REG3040_Articles of Reorganization,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
9,60fac7c2b2cc64095735518f,"[{'country': 'Canada', 'name': 'Alberta - Canada', 'region': 'Alberta'}]",['Amendments'],pdf,REG3059_Articles of Arrangement,True,"['Association', 'Company', 'Corporation', 'Designated Activity Company', 'Estate', 'Fund', 'Partnership', 'General Partnership', 'GmbH', 'Limited Liability Company', 'Limited Liability Limited Partnership', 'Limited Liability Partnership', 'Limited Partnership', 'Not-for-profit Organization', 'Private Limited Company', 'Public Limited Company', 'Registered Limited Liability Company', 'Segregated Portfolio Company', 'Society', 'Sole Proprietorship', 'Syndicate of Co-ownership', 'Trust', 'Unlimited Liability Company', 'Unlimited Liability Corporation']"
